tweet_id,sentiment
264238274963451000,positive
218775148495515000,positive
258965201766998000,neutral
262926411352903000,neutral
171874368908050000,neutral
256010056942903000,positive
253809989599232000,neutral
261776619146985000,neutral
264143999374356000,positive
223052929131757000,neutral
264088575476391000,negative
264030422244147000,neutral
263720820428394000,neutral
258639996037259000,neutral
250981027969896000,positive
195554987919679000,positive
264225147542716000,negative
260536025800142000,neutral
192349690921103000,positive
263473556753620000,positive
263182075434254000,neutral
262434763493748000,neutral
256514267149385000,neutral
263733718085140000,positive
241403423130525000,neutral
263690432473624000,negative
260072342905049000,positive
259780914509389000,negative
264208681338560000,neutral
263858456455421000,neutral
202969121271459000,neutral
177924741301149000,neutral
263307152398090000,positive
264163993814450000,positive
263509025059127000,positive
242710540542164000,neutral
262850595428380000,neutral
246289024552148000,positive
247476146642485000,positive
259632575511941000,positive
261351584410247000,positive
254613174219857000,negative
243074408409882000,neutral
264217623716306000,negative
259492614355693000,negative
263485976356220000,positive
264048609081839000,neutral
245953055655329000,neutral
250422016203702000,negative
254429009956442000,negative
258973983444201000,neutral
199458824422309000,neutral
263606229534912000,positive
248596588128256000,neutral
260938512579309000,neutral
242693222088994000,positive
264061951431294000,negative
263755553505951000,neutral
206234768495493000,positive
263106118883086000,neutral
233676168828698000,positive
264167170261516000,negative
260806244938440000,neutral
257409607423647000,positive
197048860416290000,positive
259278100196638000,negative
248965691384942000,neutral
263737807867088000,positive
261166794998427000,neutral
263432435772051000,positive
259373916156481000,positive
249844367097995000,negative
260941359580598000,neutral
249900139236446000,neutral
263828483086626000,positive
263266713754279000,neutral
254427164844367000,positive
181145721716736000,negative
244853909334663000,positive
257721212527071000,negative
255780352755376000,neutral
262781258206171000,neutral
263797952651350000,positive
242792442573766000,neutral
241208302044860000,neutral
241098015845273000,positive
257776970018992000,neutral
264001674694246000,positive
243639632535896000,negative
199739480750555000,positive
254686292045086000,positive
233490936322215000,positive
253157284925038000,positive
178180524848844000,neutral
263913414525583000,positive
258043746262851000,negative
263527684984958000,neutral
263138815051444000,positive
242957726781698000,positive
262901069527543000,neutral
262289694736392000,positive
237439402882772000,positive
249101960328921000,neutral
193846470473039000,positive
264136021917188000,neutral
263851061746479000,positive
230361473849884000,neutral
174003654238547000,positive
259122713858301000,positive
189276966338297000,neutral
250887102923939000,positive
244107469427720000,neutral
263995618421268000,positive
263335900258394000,positive
264042649537880000,neutral
232299010902339000,positive
245564705492582000,neutral
262476631111778000,positive
263306537064357000,neutral
249211780314836000,positive
252830246779383000,positive
217408254978961000,negative
261265759114768000,neutral
263019968805892000,positive
207909520071073000,positive
193607051891589000,positive
264017969498169000,neutral
263310080823418000,positive
225470168380342000,neutral
212621727006601000,positive
246102730400227000,neutral
242389647173500000,positive
169609494815457000,neutral
247712189635497000,positive
263984767731630000,neutral
263876102865440000,neutral
262264773650022000,positive
258635165528641000,neutral
264094468754518000,positive
262857486720172000,neutral
188790674433376000,positive
218535418738655000,negative
252057183657803000,neutral
264196470830399000,neutral
235712138583363000,negative
259129265570869000,positive
246398692679114000,positive
263310009566392000,neutral
222970687118258000,positive
240831218864771000,neutral
235172134593384000,neutral
264213386592669000,positive
264169764979609000,negative
240326771948548000,neutral
245927681672224000,neutral
264236295172272000,neutral
261969426889457000,positive
263367450744201000,neutral
263307551360303000,positive
248723502784475000,neutral
225234645099347000,neutral
264217924728930000,neutral
263503249758375000,neutral
207447080585789000,positive
252576881981943000,neutral
263817104761946000,positive
261639278772232000,positive
261994984952188000,neutral
264086250925998000,neutral
245621999517437000,neutral
257589573465550000,positive
215329129938173000,positive
194521795464933000,neutral
258814894361702000,neutral
174789394203549000,neutral
174370947405586000,neutral
264036919011319000,neutral
259095865652817000,positive
263506599451168000,positive
264174123234783000,neutral
260976746462072000,positive
260798039936077000,neutral
165009461449207000,positive
263509017639415000,positive
259265454743363000,neutral
255525306159468000,positive
259838363887099000,positive
263682806264258000,positive
260965829510840000,positive
249064529374371000,positive
255251156878643000,positive
261454444019974000,neutral
256726415284768000,neutral
262070783411638000,neutral
258526698956529000,neutral
225033272181276000,positive
259742833810997000,positive
239306698903396000,neutral
235112576101515000,neutral
262836186203172000,neutral
247736704281223000,positive
264132415843356000,neutral
262922727915147000,positive
263556796004855000,positive
259498159619850000,neutral
252075560682012000,neutral
254600364496650000,neutral
259415061678927000,neutral
246365394531647000,neutral
264175386143907000,neutral
197328259137015000,positive
173976882000314000,positive
256492927407239000,positive
263897121302929000,neutral
263042546471673000,neutral
